type,latitude,longitude
start_point,27.76008916,-82.22631629
center_point,27.76003407,-82.2261708
center_point,27.7600328,-82.22617072
center_point,27.75998465,-82.22617055
center_point,27.75993176,-82.22617106
center_point,27.75988464,-82.22617157
center_point,27.75983174,-82.2261714
center_point,27.759784279,-82.226171141
center_point,27.759734439,-82.22617165
center_point,27.75968621,-82.226171311
center_point,27.759635862,-82.22617165
center_point,27.75958899,-82.226171565
center_point,27.75953932,-82.226172158
center_point,27.759485243,-82.22617148
center_point,27.759438709,-82.226172158
center_point,27.759388361,-82.226171735
center_point,27.759339369,-82.226172074
center_point,27.759289954,-82.226172243
center_point,27.759241979,-82.226172243
center_point,27.76003407,-82.2261708
center_point,27.7600328,-82.22617072
center_point,27.75998465,-82.22617055
center_point,27.75993176,-82.22617106
center_point,27.75988464,-82.22617157
center_point,27.75983174,-82.2261714
center_point,27.759784279,-82.226171141
center_point,27.759734439,-82.22617165
center_point,27.75968621,-82.226171311
center_point,27.759635862,-82.22617165
center_point,27.75958899,-82.226171565
center_point,27.75953932,-82.226172158
center_point,27.759485243,-82.22617148
center_point,27.759438709,-82.226172158
center_point,27.759388361,-82.226171735
center_point,27.759339369,-82.226172074
center_point,27.759289954,-82.226172243
center_point,27.759241979,-82.226172243
end_point,27.76008916,-82.22631629
